t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.118560,0.970000,0.118560,exp_open_timeout_9,1,0,0,0.000012,3,0.118560
0.186966,0.970000,0.081516,exp_open_timeout_9,0,0,0,0.000016,3,0.068406
0.214479,0.970000,0.015211,exp_open_timeout_9,0,0,0,0.000023,3,0.015211
0.592968,0.970000,0.051746,exp_open_timeout_9,0,0,0,0.000028,3,0.051746
0.710835,0.970000,0.088670,exp_open_timeout_9,0,0,0,0.000034,3,0.088670
0.730479,0.970000,0.003473,exp_open_timeout_9,0,0,0,0.000039,3,0.003473
0.834769,0.970000,0.013509,exp_open_timeout_9,0,0,0,0.000044,3,0.013509
1.033621,0.970000,0.089120,exp_open_timeout_9,0,0,0,0.000050,3,0.089120
1.432603,0.970000,0.332150,exp_open_timeout_9,4,0,0,0.000064,3,0.332150
1.454054,0.970000,0.326025,exp_open_timeout_9,3,0,0,0.000068,3,0.021451
1.541750,0.970000,0.382597,exp_open_timeout_9,3,0,0,0.000073,3,0.087696
1.646563,0.970000,0.317777,exp_open_timeout_9,3,0,0,0.000079,3,0.104813
1.697894,0.970000,0.317845,exp_open_timeout_9,2,0,0,0.000082,3,0.051331
1.727192,0.970000,0.230510,exp_open_timeout_9,1,0,0,0.000084,3,0.029298
1.914800,0.970000,0.343408,exp_open_timeout_9,0,0,0,0.000087,3,0.187608
2.035882,0.970000,0.089906,exp_open_timeout_9,0,0,0,0.000092,3,0.089906
2.236922,0.970000,0.071597,exp_open_timeout_9,0,0,0,0.000098,3,0.071597
2.526210,0.970000,0.221950,exp_open_timeout_9,1,0,0,0.000106,3,0.221950
2.583844,0.970000,0.067096,exp_open_timeout_9,0,0,0,0.000109,3,0.057634
2.837022,0.970000,0.076278,exp_open_timeout_9,0,0,0,0.000114,3,0.076278
2.924872,0.970000,0.049851,exp_open_timeout_9,0,0,0,0.000119,3,0.049851
3.353264,0.970000,0.154746,exp_open_timeout_9,1,0,0,0.000126,3,0.154746
3.466980,0.970000,0.242146,exp_open_timeout_9,0,0,0,0.000129,3,0.113716
3.742371,0.970000,0.181162,exp_open_timeout_9,0,0,0,0.000135,3,0.181162
4.028937,0.970000,0.188344,exp_open_timeout_9,1,0,0,0.000142,3,0.188344
4.107902,0.970000,0.176523,exp_open_timeout_9,2,0,0,0.000150,3,0.078965
4.110112,0.970000,0.036978,exp_open_timeout_9,1,0,0,0.000153,3,0.002211
4.118574,0.970000,0.024109,exp_open_timeout_9,0,0,0,0.000156,3,0.008462
4.169846,0.970000,0.028163,exp_open_timeout_9,0,0,0,0.000161,3,0.028163
4.232799,0.970000,0.036187,exp_open_timeout_9,0,0,0,0.000166,3,0.036187
4.372059,0.970000,0.105116,exp_open_timeout_9,1,0,0,0.000174,3,0.105116
4.428516,0.970000,0.064676,exp_open_timeout_9,0,0,0,0.000176,3,0.056456
4.626098,0.970000,0.039316,exp_open_timeout_9,2,0,0,0.000186,3,0.039316
4.757546,0.970000,0.155864,exp_open_timeout_9,2,0,0,0.000192,3,0.131447
4.788097,0.970000,0.185195,exp_open_timeout_9,1,0,0,0.000195,3,0.030552
5.127051,0.970000,0.486772,exp_open_timeout_9,4,0,0,0.000207,3,0.338954
5.364595,0.970000,0.455572,exp_open_timeout_9,8,0,0,0.000221,3,0.237544
5.482181,0.970000,0.531845,exp_open_timeout_9,7,0,0,0.000224,3,0.117586
5.636370,0.970000,0.613551,exp_open_timeout_9,8,0,0,0.000232,3,0.154188
5.770349,0.970000,0.737702,exp_open_timeout_9,10,0,0,0.000242,3,0.133979
5.793572,0.970000,0.650524,exp_open_timeout_9,9,0,0,0.000244,3,0.023223
6.034883,0.970000,0.872387,exp_open_timeout_9,10,0,0,0.000252,3,0.241312
6.253653,0.970000,0.970675,exp_open_timeout_9,10,0,0,0.000257,3,0.218769
6.365195,0.970000,1.048601,exp_open_timeout_9,13,0,0,0.000269,3,0.111542
6.578557,0.970000,1.219006,exp_open_timeout_9,12,0,0,0.000273,3,0.213361
6.754251,0.970000,1.265976,exp_open_timeout_9,12,0,0,0.000278,3,0.175694
6.767895,0.970000,1.227547,exp_open_timeout_9,12,0,0,0.000283,3,0.013644
6.826441,0.970000,1.168930,exp_open_timeout_9,13,0,0,0.000290,3,0.058547
6.852468,0.970000,1.123097,exp_open_timeout_9,12,0,0,0.000293,3,0.026027
6.965188,0.970000,1.217300,exp_open_timeout_9,12,0,0,0.000298,3,0.112720
7.235100,0.970000,1.438566,exp_open_timeout_9,12,0,0,0.000304,3,0.269912
7.327086,0.970000,1.467000,exp_open_timeout_9,11,0,0,0.000307,3,0.091986
7.338003,0.970000,1.217204,exp_open_timeout_9,10,0,0,0.000310,3,0.010917
7.384150,0.970000,1.123681,exp_open_timeout_9,10,0,0,0.000315,3,0.046147
7.413664,0.970000,1.085456,exp_open_timeout_9,10,0,0,0.000320,3,0.029514
7.471615,0.970000,1.136526,exp_open_timeout_9,9,0,0,0.000323,3,0.057951
7.658048,0.970000,1.313162,exp_open_timeout_9,9,0,0,0.000328,3,0.186433
7.765655,0.970000,1.032025,exp_open_timeout_9,9,0,0,0.000334,3,0.107607
7.828804,0.970000,1.061730,exp_open_timeout_9,9,0,0,0.000339,3,0.063149
7.935124,0.970000,1.115929,exp_open_timeout_9,8,0,0,0.000342,3,0.106319
8.234765,0.970000,1.412064,exp_open_timeout_9,10,0,0,0.000351,3,0.299642
8.457673,0.970000,1.511116,exp_open_timeout_9,12,0,0,0.000361,3,0.222908
8.468906,0.970000,1.388885,exp_open_timeout_9,11,0,0,0.000364,3,0.011233
8.779105,0.970000,1.404216,exp_open_timeout_9,15,0,0,0.000378,3,0.310199
8.823954,0.970000,1.416365,exp_open_timeout_9,14,0,0,0.000381,3,0.044849
8.835867,0.970000,1.301316,exp_open_timeout_9,13,0,0,0.000384,3,0.011913
8.895556,0.970000,1.155781,exp_open_timeout_9,12,0,0,0.000386,3,0.059688
8.898425,0.970000,1.114851,exp_open_timeout_9,11,0,0,0.000389,3,0.002870
8.961468,0.970000,0.895930,exp_open_timeout_9,11,0,0,0.000394,3,0.063043
8.983899,0.970000,0.890351,exp_open_timeout_9,10,0,0,0.000397,3,0.022431
8.995425,0.970000,0.807957,exp_open_timeout_9,9,0,0,0.000400,3,0.011526
9.258636,0.970000,0.973210,exp_open_timeout_9,8,0,0,0.000403,3,0.263211
9.266426,0.970000,0.921077,exp_open_timeout_9,7,0,0,0.000406,3,0.007791
9.294800,0.970000,0.919895,exp_open_timeout_9,6,0,0,0.000408,3,0.028374
9.410316,0.970000,0.931564,exp_open_timeout_9,7,0,0,0.000416,3,0.115516
9.431477,0.970000,0.858836,exp_open_timeout_9,6,0,0,0.000419,3,0.021161
9.453891,0.970000,0.862586,exp_open_timeout_9,5,0,0,0.000422,3,0.022414
9.562174,0.970000,0.965862,exp_open_timeout_9,4,0,0,0.000424,3,0.108282
9.578605,0.970000,0.822886,exp_open_timeout_9,3,0,0,0.000427,3,0.016431
9.681755,0.970000,0.732794,exp_open_timeout_9,3,0,0,0.000432,3,0.103150
9.719109,0.970000,0.391067,exp_open_timeout_9,2,0,0,0.000435,3,0.037354
9.743194,0.970000,0.405074,exp_open_timeout_9,1,0,0,0.000438,3,0.024085
9.880642,0.970000,0.210250,exp_open_timeout_9,2,0,0,0.000445,3,0.137448
9.977968,0.970000,0.231268,exp_open_timeout_9,4,0,0,0.000455,3,0.097326
10.059921,0.970000,0.299942,exp_open_timeout_9,4,0,0,0.000460,3,0.081953
10.099329,0.970000,0.174127,exp_open_timeout_9,4,0,0,0.000466,3,0.039408
10.128068,0.970000,0.188471,exp_open_timeout_9,3,0,0,0.000468,3,0.028739
10.231357,0.970000,0.290021,exp_open_timeout_9,2,0,0,0.000471,3,0.103289
10.299704,0.970000,0.245580,exp_open_timeout_9,2,0,0,0.000477,3,0.068348
10.339623,0.970000,0.257075,exp_open_timeout_9,1,0,0,0.000480,3,0.039919
10.393144,0.970000,0.113511,exp_open_timeout_9,1,0,0,0.000485,3,0.053521
10.488032,0.970000,0.142158,exp_open_timeout_9,0,0,0,0.000488,3,0.094888
10.832988,0.970000,0.244507,exp_open_timeout_9,0,0,0,0.000493,3,0.244507
10.923505,0.970000,0.047747,exp_open_timeout_9,0,0,0,0.000499,3,0.047747
11.175827,0.970000,0.095399,exp_open_timeout_9,1,0,0,0.000506,3,0.095399
11.306634,0.970000,0.221926,exp_open_timeout_9,2,0,0,0.000514,3,0.130807
11.433442,0.970000,0.242843,exp_open_timeout_9,1,0,0,0.000517,3,0.126808
11.741233,0.970000,0.459789,exp_open_timeout_9,1,0,0,0.000522,3,0.307791
11.835716,0.970000,0.341851,exp_open_timeout_9,1,0,0,0.000527,3,0.094483
11.879925,0.970000,0.100050,exp_open_timeout_9,0,0,0,0.000530,3,0.044209
12.206704,0.970000,0.023778,exp_open_timeout_9,0,0,0,0.000535,3,0.023778
12.381293,0.970000,0.121403,exp_open_timeout_9,0,0,0,0.000540,3,0.121403
12.504797,0.970000,0.073770,exp_open_timeout_9,1,0,0,0.000548,3,0.073770
12.621633,0.970000,0.177960,exp_open_timeout_9,2,0,0,0.000556,3,0.116837
12.683289,0.970000,0.118483,exp_open_timeout_9,1,0,0,0.000558,3,0.061656
12.683942,0.970000,0.075353,exp_open_timeout_9,0,0,0,0.000561,3,0.000653
12.715637,0.970000,0.008921,exp_open_timeout_9,0,0,0,0.000567,3,0.008921
13.124056,0.970000,0.401234,exp_open_timeout_9,3,0,0,0.000579,3,0.401234
13.276074,0.970000,0.366435,exp_open_timeout_9,6,0,0,0.000591,3,0.152018
13.497974,0.970000,0.491158,exp_open_timeout_9,6,0,0,0.000596,3,0.221899
13.590788,0.970000,0.578336,exp_open_timeout_9,7,0,0,0.000604,3,0.092814
13.753819,0.970000,0.608956,exp_open_timeout_9,12,0,0,0.000620,3,0.163031
14.051958,0.970000,0.882327,exp_open_timeout_9,13,0,0,0.000645,3,0.298140
14.070682,0.970000,0.885590,exp_open_timeout_9,12,0,0,0.000648,3,0.018724
14.117081,0.970000,0.882716,exp_open_timeout_9,13,0,0,0.000656,3,0.046399
14.192414,0.970000,0.706753,exp_open_timeout_9,12,0,0,0.000659,3,0.075333
14.341465,0.970000,0.811872,exp_open_timeout_9,12,0,0,0.000664,3,0.149051
14.358271,0.970000,0.828385,exp_open_timeout_9,11,0,0,0.000667,3,0.016806
14.446202,0.970000,0.845071,exp_open_timeout_9,10,0,0,0.000669,3,0.087931
14.453081,0.970000,0.814896,exp_open_timeout_9,10,0,0,0.000675,3,0.006879
14.472851,0.970000,0.833761,exp_open_timeout_9,9,0,0,0.000678,3,0.019770
14.491428,0.970000,0.841746,exp_open_timeout_9,8,0,0,0.000680,3,0.018577
14.646654,0.970000,0.951864,exp_open_timeout_9,8,0,0,0.000686,3,0.155226
14.739672,0.970000,1.005110,exp_open_timeout_9,9,0,0,0.000693,3,0.093018
14.856829,0.970000,0.978172,exp_open_timeout_9,9,0,0,0.000699,3,0.117157
15.029443,0.970000,1.050621,exp_open_timeout_9,11,0,0,0.000709,3,0.172614
15.131494,0.970000,1.048317,exp_open_timeout_9,10,0,0,0.000711,3,0.102051
15.180627,0.970000,1.073154,exp_open_timeout_9,9,0,0,0.000714,3,0.049133
