t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.097574,0.970000,0.097574,exp_open_timeout_9,1,0,0,0.000021,3,0.097574
0.140051,0.970000,0.054807,exp_open_timeout_9,0,0,0,0.000027,3,0.042477
0.178611,0.970000,0.029222,exp_open_timeout_9,0,0,0,0.000033,3,0.029222
0.255904,0.970000,0.064394,exp_open_timeout_9,2,0,0,0.000044,3,0.064394
0.304902,0.970000,0.112175,exp_open_timeout_9,1,0,0,0.000047,3,0.048998
0.359245,0.970000,0.146092,exp_open_timeout_9,0,0,0,0.000050,3,0.054342
0.493873,0.970000,0.089622,exp_open_timeout_9,1,0,0,0.000058,3,0.089622
0.571395,0.970000,0.110256,exp_open_timeout_9,1,0,0,0.000063,3,0.077522
0.597935,0.970000,0.099589,exp_open_timeout_9,1,0,0,0.000069,3,0.026541
0.624584,0.970000,0.029492,exp_open_timeout_9,0,0,0,0.000072,3,0.026648
0.833260,0.970000,0.080103,exp_open_timeout_9,0,0,0,0.000077,3,0.080103
0.899463,0.970000,0.049545,exp_open_timeout_9,0,0,0,0.000082,3,0.049545
1.076652,0.970000,0.001357,exp_open_timeout_9,0,0,0,0.000087,3,0.001357
1.244734,0.970000,0.003358,exp_open_timeout_9,0,0,0,0.000093,3,0.003358
1.588955,0.970000,0.175976,exp_open_timeout_9,3,0,0,0.000105,3,0.175976
1.651505,0.970000,0.199802,exp_open_timeout_9,4,0,0,0.000112,3,0.062550
1.759638,0.970000,0.225449,exp_open_timeout_9,5,0,0,0.000120,3,0.108133
1.974859,0.970000,0.398865,exp_open_timeout_9,7,0,0,0.000130,3,0.215221
1.998323,0.970000,0.368255,exp_open_timeout_9,6,0,0,0.000133,3,0.023464
2.294545,0.970000,0.660229,exp_open_timeout_9,6,0,0,0.000139,3,0.296222
2.299469,0.970000,0.614103,exp_open_timeout_9,5,0,0,0.000142,3,0.004924
2.338045,0.970000,0.640292,exp_open_timeout_9,4,0,0,0.000144,3,0.038576
2.370813,0.970000,0.577875,exp_open_timeout_9,3,0,0,0.000147,3,0.032768
2.398236,0.970000,0.604521,exp_open_timeout_9,2,0,0,0.000150,3,0.027423
2.502624,0.970000,0.585096,exp_open_timeout_9,3,0,0,0.000157,3,0.104388
2.527053,0.970000,0.303354,exp_open_timeout_9,2,0,0,0.000160,3,0.024429
2.721927,0.970000,0.322291,exp_open_timeout_9,1,0,0,0.000163,3,0.194875
2.745974,0.970000,0.303569,exp_open_timeout_9,0,0,0,0.000166,3,0.024046
3.246705,0.970000,0.307934,exp_open_timeout_9,4,0,0,0.000180,3,0.307934
3.275377,0.970000,0.157446,exp_open_timeout_9,3,0,0,0.000183,3,0.028672
3.296044,0.970000,0.134901,exp_open_timeout_9,2,0,0,0.000185,3,0.020667
3.298314,0.970000,0.064679,exp_open_timeout_9,1,0,0,0.000189,3,0.002270
3.357367,0.970000,0.117763,exp_open_timeout_9,1,0,0,0.000194,3,0.059052
3.516512,0.970000,0.190545,exp_open_timeout_9,1,0,0,0.000199,3,0.159145
3.561211,0.970000,0.198525,exp_open_timeout_9,0,0,0,0.000202,3,0.044700
3.728167,0.970000,0.058463,exp_open_timeout_9,0,0,0,0.000207,3,0.058463
3.903476,0.970000,0.023445,exp_open_timeout_9,0,0,0,0.000212,3,0.023445
4.085613,0.970000,0.136041,exp_open_timeout_9,1,0,0,0.000220,3,0.136041
4.110003,0.970000,0.150963,exp_open_timeout_9,0,0,0,0.000222,3,0.024390
4.187203,0.970000,0.067172,exp_open_timeout_9,1,0,0,0.000230,3,0.067172
4.241991,0.970000,0.091331,exp_open_timeout_9,1,0,0,0.000236,3,0.054789
4.391771,0.970000,0.167150,exp_open_timeout_9,1,0,0,0.000241,3,0.149779
4.499318,0.970000,0.108465,exp_open_timeout_9,2,0,0,0.000248,3,0.107547
4.514549,0.970000,0.064330,exp_open_timeout_9,1,0,0,0.000251,3,0.015232
4.665842,0.970000,0.177439,exp_open_timeout_9,2,0,0,0.000258,3,0.151292
4.698954,0.970000,0.090775,exp_open_timeout_9,1,0,0,0.000261,3,0.033112
4.784616,0.970000,0.126703,exp_open_timeout_9,0,0,0,0.000264,3,0.085662
4.956829,0.970000,0.115088,exp_open_timeout_9,2,0,0,0.000274,3,0.115088
5.044702,0.970000,0.157722,exp_open_timeout_9,1,0,0,0.000277,3,0.087873
5.131527,0.970000,0.227341,exp_open_timeout_9,2,0,0,0.000284,3,0.086825
5.187789,0.970000,0.107493,exp_open_timeout_9,1,0,0,0.000287,3,0.056262
5.188271,0.970000,0.064910,exp_open_timeout_9,0,0,0,0.000290,3,0.000482
5.378816,0.970000,0.141895,exp_open_timeout_9,1,0,0,0.000298,3,0.141895
5.707314,0.970000,0.342270,exp_open_timeout_9,3,0,0,0.000308,3,0.328498
5.733702,0.970000,0.318442,exp_open_timeout_9,2,0,0,0.000310,3,0.026388
6.077497,0.970000,0.624792,exp_open_timeout_9,10,0,0,0.000334,3,0.343795
6.402399,0.970000,0.920858,exp_open_timeout_9,12,0,0,0.000344,3,0.324903
6.420241,0.970000,0.647881,exp_open_timeout_9,12,0,0,0.000350,3,0.017841
6.454904,0.970000,0.561604,exp_open_timeout_9,11,0,0,0.000352,3,0.034664
6.547900,0.970000,0.614675,exp_open_timeout_9,10,0,0,0.000355,3,0.092995
6.570562,0.970000,0.610066,exp_open_timeout_9,10,0,0,0.000360,3,0.022663
6.669313,0.970000,0.708508,exp_open_timeout_9,9,0,0,0.000363,3,0.098751
6.720759,0.970000,0.751906,exp_open_timeout_9,9,0,0,0.000368,3,0.051446
6.734225,0.970000,0.736151,exp_open_timeout_9,8,0,0,0.000371,3,0.013467
6.769646,0.970000,0.756873,exp_open_timeout_9,7,0,0,0.000374,3,0.035420
6.804614,0.970000,0.767108,exp_open_timeout_9,6,0,0,0.000377,3,0.034969
6.998279,0.970000,0.853480,exp_open_timeout_9,9,0,0,0.000389,3,0.193665
7.315502,0.970000,1.161858,exp_open_timeout_9,10,0,0,0.000396,3,0.317223
7.335491,0.970000,1.068126,exp_open_timeout_9,9,0,0,0.000399,3,0.019989
7.366979,0.970000,0.953675,exp_open_timeout_9,9,0,0,0.000404,3,0.031488
7.400480,0.970000,0.842690,exp_open_timeout_9,9,0,0,0.000409,3,0.033500
7.448856,0.970000,0.755201,exp_open_timeout_9,8,0,0,0.000412,3,0.048377
7.485369,0.970000,0.648917,exp_open_timeout_9,10,0,0,0.000422,3,0.036513
7.554269,0.970000,0.681172,exp_open_timeout_9,9,0,0,0.000425,3,0.068900
7.575595,0.970000,0.649696,exp_open_timeout_9,8,0,0,0.000427,3,0.021326
7.824077,0.970000,0.862377,exp_open_timeout_9,12,0,0,0.000441,3,0.248482
7.887272,0.970000,0.857033,exp_open_timeout_9,11,0,0,0.000445,3,0.063195
7.899054,0.970000,0.866707,exp_open_timeout_9,10,0,0,0.000448,3,0.011782
8.001424,0.970000,0.661260,exp_open_timeout_9,11,0,0,0.000455,3,0.102370
8.031618,0.970000,0.656870,exp_open_timeout_9,10,0,0,0.000458,3,0.030194
8.032636,0.970000,0.582002,exp_open_timeout_9,9,0,0,0.000461,3,0.001019
8.132064,0.970000,0.669434,exp_open_timeout_9,9,0,0,0.000466,3,0.099428
8.136149,0.970000,0.653432,exp_open_timeout_9,9,0,0,0.000471,3,0.004085
8.165459,0.970000,0.532284,exp_open_timeout_9,9,0,0,0.000476,3,0.029310
8.176459,0.970000,0.529345,exp_open_timeout_9,8,0,0,0.000479,3,0.011000
8.359954,0.970000,0.685802,exp_open_timeout_9,7,0,0,0.000482,3,0.183495
8.571467,0.970000,0.892681,exp_open_timeout_9,9,0,0,0.000492,3,0.211512
8.699576,0.970000,0.938655,exp_open_timeout_9,8,0,0,0.000494,3,0.128109
8.755219,0.970000,0.786986,exp_open_timeout_9,9,0,0,0.000502,3,0.055644
8.851001,0.970000,0.858340,exp_open_timeout_9,8,0,0,0.000504,3,0.095782
8.878342,0.970000,0.817781,exp_open_timeout_9,7,0,0,0.000507,3,0.027341
8.886493,0.970000,0.752232,exp_open_timeout_9,6,0,0,0.000510,3,0.008151
9.182067,0.970000,1.043261,exp_open_timeout_9,10,0,0,0.000530,3,0.295574
9.315317,0.970000,0.951700,exp_open_timeout_9,12,0,0,0.000539,3,0.133250
9.320008,0.970000,0.832592,exp_open_timeout_9,11,0,0,0.000542,3,0.004690
9.432247,0.970000,0.892760,exp_open_timeout_9,12,0,0,0.000550,3,0.112239
9.472690,0.970000,0.768228,exp_open_timeout_9,12,0,0,0.000555,3,0.040443
9.504279,0.970000,0.753144,exp_open_timeout_9,12,0,0,0.000561,3,0.031589
9.524027,0.970000,0.636399,exp_open_timeout_9,13,0,0,0.000568,3,0.019748
9.737769,0.970000,0.747000,exp_open_timeout_9,15,0,0,0.000578,3,0.213742
