t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.125464,0.970000,0.125464,exp_open_timeout_9,2,0,0,0.000014,3,0.125464
0.126980,0.970000,0.125553,exp_open_timeout_9,1,0,0,0.000019,3,0.001516
0.254515,0.970000,0.209289,exp_open_timeout_9,1,0,0,0.000025,3,0.127535
0.399218,0.970000,0.184118,exp_open_timeout_9,2,0,0,0.000033,3,0.144703
0.636533,0.970000,0.287499,exp_open_timeout_9,3,0,0,0.000041,3,0.237315
0.652109,0.970000,0.299044,exp_open_timeout_9,2,0,0,0.000044,3,0.015576
0.974081,0.970000,0.545357,exp_open_timeout_9,5,0,0,0.000056,3,0.321973
1.008354,0.970000,0.549661,exp_open_timeout_9,6,0,0,0.000064,3,0.034273
1.104822,0.970000,0.365497,exp_open_timeout_9,6,0,0,0.000069,3,0.096468
1.170152,0.970000,0.318116,exp_open_timeout_9,6,0,0,0.000074,3,0.065330
1.301528,0.970000,0.427358,exp_open_timeout_9,7,0,0,0.000082,3,0.131376
1.349205,0.970000,0.440799,exp_open_timeout_9,6,0,0,0.000085,3,0.047677
1.495722,0.970000,0.500929,exp_open_timeout_9,6,0,0,0.000091,3,0.146517
1.513402,0.970000,0.509504,exp_open_timeout_9,5,0,0,0.000093,3,0.017680
1.554641,0.970000,0.511440,exp_open_timeout_9,4,0,0,0.000096,3,0.041239
1.583738,0.970000,0.445629,exp_open_timeout_9,3,0,0,0.000099,3,0.029096
1.594292,0.970000,0.403016,exp_open_timeout_9,2,0,0,0.000102,3,0.010555
1.836631,0.970000,0.547636,exp_open_timeout_9,3,0,0,0.000110,3,0.242339
2.143663,0.970000,0.773824,exp_open_timeout_9,5,0,0,0.000119,3,0.307032
2.322585,0.970000,0.630859,exp_open_timeout_9,5,0,0,0.000124,3,0.178922
2.416587,0.970000,0.656565,exp_open_timeout_9,6,0,0,0.000132,3,0.094003
2.417641,0.970000,0.453830,exp_open_timeout_9,5,0,0,0.000135,3,0.001054
2.471284,0.970000,0.485781,exp_open_timeout_9,6,0,0,0.000142,3,0.053643
2.503920,0.970000,0.486225,exp_open_timeout_9,5,0,0,0.000145,3,0.032636
2.545943,0.970000,0.233555,exp_open_timeout_9,4,0,0,0.000148,3,0.042023
2.752414,0.970000,0.400987,exp_open_timeout_9,5,0,0,0.000155,3,0.206471
2.763539,0.970000,0.377321,exp_open_timeout_9,4,0,0,0.000158,3,0.011125
2.891260,0.970000,0.471307,exp_open_timeout_9,5,0,0,0.000165,3,0.127721
3.010870,0.970000,0.545203,exp_open_timeout_9,6,0,0,0.000173,3,0.119610
3.050375,0.970000,0.424974,exp_open_timeout_9,5,0,0,0.000176,3,0.039505
3.391642,0.970000,0.690736,exp_open_timeout_9,8,0,0,0.000188,3,0.341267
3.689707,0.970000,0.891995,exp_open_timeout_9,11,0,0,0.000200,3,0.298064
3.764728,0.970000,0.896171,exp_open_timeout_9,10,0,0,0.000204,3,0.075022
3.845913,0.970000,0.893011,exp_open_timeout_9,9,0,0,0.000206,3,0.081185
3.871866,0.970000,0.871788,exp_open_timeout_9,9,0,0,0.000211,3,0.025953
4.071891,0.970000,0.965495,exp_open_timeout_9,13,0,0,0.000226,3,0.200025
4.099008,0.970000,0.839407,exp_open_timeout_9,12,0,0,0.000229,3,0.027117
4.239804,0.970000,0.967860,exp_open_timeout_9,12,0,0,0.000234,3,0.140796
4.338690,0.970000,0.956840,exp_open_timeout_9,11,0,0,0.000237,3,0.098886
4.515400,0.970000,1.114171,exp_open_timeout_9,11,0,0,0.000242,3,0.176710
4.599644,0.970000,1.031403,exp_open_timeout_9,13,0,0,0.000252,3,0.084244
4.603208,0.970000,1.003311,exp_open_timeout_9,12,0,0,0.000255,3,0.003564
4.610193,0.970000,0.983852,exp_open_timeout_9,11,0,0,0.000258,3,0.006985
4.666852,0.970000,0.806078,exp_open_timeout_9,11,0,0,0.000263,3,0.056659
4.674452,0.970000,0.797280,exp_open_timeout_9,10,0,0,0.000266,3,0.007600
4.684275,0.970000,0.755706,exp_open_timeout_9,9,0,0,0.000273,3,0.009823
4.789546,0.970000,0.850404,exp_open_timeout_9,8,0,0,0.000276,3,0.105271
4.827725,0.970000,0.865836,exp_open_timeout_9,7,0,0,0.000279,3,0.038178
4.834336,0.970000,0.784934,exp_open_timeout_9,6,0,0,0.000282,3,0.006611
4.851840,0.970000,0.624756,exp_open_timeout_9,5,0,0,0.000284,3,0.017504
4.941134,0.970000,0.487480,exp_open_timeout_9,4,0,0,0.000287,3,0.089295
5.035344,0.970000,0.503079,exp_open_timeout_9,4,0,0,0.000293,3,0.094210
5.153396,0.970000,0.580011,exp_open_timeout_9,4,0,0,0.000298,3,0.118052
5.347345,0.970000,0.752551,exp_open_timeout_9,8,0,0,0.000312,3,0.193949
5.528872,0.970000,0.867050,exp_open_timeout_9,7,0,0,0.000315,3,0.181526
5.753622,0.970000,0.742351,exp_open_timeout_9,10,0,0,0.000327,3,0.224750
5.818784,0.970000,0.738080,exp_open_timeout_9,9,0,0,0.000330,3,0.065162
5.852042,0.970000,0.684165,exp_open_timeout_9,8,0,0,0.000333,3,0.033258
5.919793,0.970000,0.741920,exp_open_timeout_9,8,0,0,0.000338,3,0.067751
6.086543,0.970000,0.858481,exp_open_timeout_9,8,0,0,0.000343,3,0.166750
6.230162,0.970000,0.990837,exp_open_timeout_9,8,0,0,0.000348,3,0.143619
6.315127,0.970000,0.970420,exp_open_timeout_9,9,0,0,0.000356,3,0.084965
6.320732,0.970000,0.779243,exp_open_timeout_9,8,0,0,0.000359,3,0.005605
6.454035,0.970000,0.865593,exp_open_timeout_9,8,0,0,0.000364,3,0.133303
6.482210,0.970000,0.859403,exp_open_timeout_9,7,0,0,0.000367,3,0.028175
6.572610,0.970000,0.931203,exp_open_timeout_9,7,0,0,0.000372,3,0.090399
6.614878,0.970000,0.698216,exp_open_timeout_9,7,0,0,0.000377,3,0.042269
6.657580,0.970000,0.711710,exp_open_timeout_9,7,0,0,0.000382,3,0.042702
6.775583,0.970000,0.655176,exp_open_timeout_9,6,0,0,0.000385,3,0.118003
6.824542,0.970000,0.552279,exp_open_timeout_9,7,0,0,0.000393,3,0.048959
6.884109,0.970000,0.592021,exp_open_timeout_9,6,0,0,0.000396,3,0.059567
7.017207,0.970000,0.573895,exp_open_timeout_9,6,0,0,0.000401,3,0.133098
7.058960,0.970000,0.540257,exp_open_timeout_9,5,0,0,0.000404,3,0.041753
7.141374,0.970000,0.537462,exp_open_timeout_9,4,0,0,0.000407,3,0.082414
7.200738,0.970000,0.583635,exp_open_timeout_9,3,0,0,0.000409,3,0.059364
7.310631,0.970000,0.519903,exp_open_timeout_9,2,0,0,0.000412,3,0.109892
7.315732,0.970000,0.524161,exp_open_timeout_9,1,0,0,0.000415,3,0.005101
7.384896,0.970000,0.371445,exp_open_timeout_9,2,0,0,0.000423,3,0.069164
7.388302,0.970000,0.054148,exp_open_timeout_9,1,0,0,0.000426,3,0.003407
7.468957,0.970000,0.122771,exp_open_timeout_9,1,0,0,0.000431,3,0.080655
7.505506,0.970000,0.071926,exp_open_timeout_9,0,0,0,0.000433,3,0.036549
8.018836,0.970000,0.097540,exp_open_timeout_9,2,0,0,0.000444,3,0.097540
8.063010,0.970000,0.134582,exp_open_timeout_9,1,0,0,0.000447,3,0.044174
8.327170,0.970000,0.386226,exp_open_timeout_9,0,0,0,0.000450,3,0.264160
8.453214,0.970000,0.013692,exp_open_timeout_9,0,0,0,0.000455,3,0.013692
8.551114,0.970000,0.043889,exp_open_timeout_9,0,0,0,0.000460,3,0.043889
8.645732,0.970000,0.079197,exp_open_timeout_9,0,0,0,0.000466,3,0.079197
8.785747,0.970000,0.138732,exp_open_timeout_9,0,0,0,0.000471,3,0.138732
8.919966,0.970000,0.128543,exp_open_timeout_9,1,0,0,0.000479,3,0.128543
8.989792,0.970000,0.098880,exp_open_timeout_9,0,0,0,0.000482,3,0.069826
9.022974,0.970000,0.007810,exp_open_timeout_9,0,0,0,0.000487,3,0.007810
9.244432,0.970000,0.096437,exp_open_timeout_9,2,0,0,0.000497,3,0.096437
9.483116,0.970000,0.315085,exp_open_timeout_9,4,0,0,0.000507,3,0.238684
9.483584,0.970000,0.243807,exp_open_timeout_9,3,0,0,0.000510,3,0.000468
9.486902,0.970000,0.091192,exp_open_timeout_9,2,0,0,0.000512,3,0.003318
9.533426,0.970000,0.116857,exp_open_timeout_9,2,0,0,0.000518,3,0.046524
9.638239,0.970000,0.166453,exp_open_timeout_9,2,0,0,0.000523,3,0.104813
9.862812,0.970000,0.356481,exp_open_timeout_9,3,0,0,0.000530,3,0.224573
9.982996,0.970000,0.376026,exp_open_timeout_9,3,0,0,0.000536,3,0.120184
10.010077,0.970000,0.329491,exp_open_timeout_9,2,0,0,0.000538,3,0.027081
10.265910,0.970000,0.563817,exp_open_timeout_9,2,0,0,0.000544,3,0.255833
