t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.045022,0.970000,0.045022,exp_open_timeout_9,3,0,0,0.000024,3,0.045022
0.122891,0.970000,0.097078,exp_open_timeout_9,6,0,0,0.000038,3,0.077869
0.334205,0.970000,0.298267,exp_open_timeout_9,11,0,0,0.000055,3,0.211315
0.375157,0.970000,0.335743,exp_open_timeout_9,10,0,0,0.000057,3,0.040952
0.411721,0.970000,0.319739,exp_open_timeout_9,9,0,0,0.000060,3,0.036564
0.427854,0.970000,0.332354,exp_open_timeout_9,8,0,0,0.000063,3,0.016132
0.457666,0.970000,0.351038,exp_open_timeout_9,7,0,0,0.000066,3,0.029812
0.492571,0.970000,0.380843,exp_open_timeout_9,6,0,0,0.000068,3,0.034905
0.709229,0.970000,0.519431,exp_open_timeout_9,7,0,0,0.000076,3,0.216658
0.719887,0.970000,0.518007,exp_open_timeout_9,6,0,0,0.000079,3,0.010658
0.757363,0.970000,0.516703,exp_open_timeout_9,5,0,0,0.000082,3,0.037476
0.761358,0.970000,0.512439,exp_open_timeout_9,4,0,0,0.000084,3,0.003995
0.848796,0.970000,0.596261,exp_open_timeout_9,6,0,0,0.000094,3,0.087438
0.873166,0.970000,0.564349,exp_open_timeout_9,5,0,0,0.000096,3,0.024370
0.897364,0.970000,0.296083,exp_open_timeout_9,4,0,0,0.000099,3,0.024198
0.919434,0.970000,0.297014,exp_open_timeout_9,3,0,0,0.000102,3,0.022070
0.952087,0.970000,0.187854,exp_open_timeout_9,2,0,0,0.000105,3,0.032652
1.039618,0.970000,0.231433,exp_open_timeout_9,3,0,0,0.000112,3,0.087531
1.075880,0.970000,0.253547,exp_open_timeout_9,2,0,0,0.000115,3,0.036262
1.082410,0.970000,0.091241,exp_open_timeout_9,1,0,0,0.000118,3,0.006530
1.091241,0.970000,0.078652,exp_open_timeout_9,0,0,0,0.000120,3,0.008831
1.292651,0.970000,0.076408,exp_open_timeout_9,1,0,0,0.000129,3,0.076408
1.310466,0.970000,0.087811,exp_open_timeout_9,0,0,0,0.000132,3,0.017815
1.704459,0.970000,0.187938,exp_open_timeout_9,4,0,0,0.000146,3,0.187938
