t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.639217,0.970000,0.639217,exp_open_timeout_9,6,0,0,0.000026,3,0.639217
0.658922,0.970000,0.469098,exp_open_timeout_9,5,0,0,0.000031,3,0.019705
0.664667,0.970000,0.403478,exp_open_timeout_9,4,0,0,0.000034,3,0.005745
0.726010,0.970000,0.407465,exp_open_timeout_9,3,0,0,0.000036,3,0.061343
0.861505,0.970000,0.528103,exp_open_timeout_9,2,0,0,0.000039,3,0.135495
0.905136,0.970000,0.398028,exp_open_timeout_9,1,0,0,0.000042,3,0.043631
1.070775,0.970000,0.468316,exp_open_timeout_9,3,0,0,0.000052,3,0.165639
1.107699,0.970000,0.101552,exp_open_timeout_9,2,0,0,0.000055,3,0.036925
1.247532,0.970000,0.235993,exp_open_timeout_9,4,0,0,0.000064,3,0.139833
1.372224,0.970000,0.337024,exp_open_timeout_9,6,0,0,0.000074,3,0.124692
1.633288,0.970000,0.518177,exp_open_timeout_9,7,0,0,0.000082,3,0.261064
1.642609,0.970000,0.462197,exp_open_timeout_9,6,0,0,0.000084,3,0.009321
1.689158,0.970000,0.494489,exp_open_timeout_9,5,0,0,0.000087,3,0.046549
1.834471,0.970000,0.571192,exp_open_timeout_9,5,0,0,0.000092,3,0.145313
1.961708,0.970000,0.626955,exp_open_timeout_9,4,0,0,0.000095,3,0.127237
2.086380,0.970000,0.715358,exp_open_timeout_9,4,0,0,0.000100,3,0.124672
2.153477,0.970000,0.633407,exp_open_timeout_9,4,0,0,0.000106,3,0.067097
2.202879,0.970000,0.602066,exp_open_timeout_9,4,0,0,0.000111,3,0.049402
2.335500,0.970000,0.568158,exp_open_timeout_9,4,0,0,0.000116,3,0.132621
2.531644,0.970000,0.551467,exp_open_timeout_9,4,0,0,0.000121,3,0.196144
2.583918,0.970000,0.434238,exp_open_timeout_9,3,0,0,0.000124,3,0.052274
2.603264,0.970000,0.402724,exp_open_timeout_9,2,0,0,0.000127,3,0.019346
2.812720,0.970000,0.583426,exp_open_timeout_9,1,0,0,0.000129,3,0.209456
2.854798,0.970000,0.441810,exp_open_timeout_9,1,0,0,0.000135,3,0.042078
2.861933,0.970000,0.007816,exp_open_timeout_9,0,0,0,0.000138,3,0.007135
2.915218,0.970000,0.012957,exp_open_timeout_9,0,0,0,0.000143,3,0.012957
3.228584,0.970000,0.087432,exp_open_timeout_9,3,0,0,0.000155,3,0.087432
3.442759,0.970000,0.231687,exp_open_timeout_9,2,0,0,0.000158,3,0.214175
3.821631,0.970000,0.604892,exp_open_timeout_9,6,0,0,0.000172,3,0.378872
