t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.117698,0.970000,0.117698,exp_open_timeout_9,0,0,0,0.000011,3,0.117698
0.306316,0.970000,0.067315,exp_open_timeout_9,1,0,0,0.000022,3,0.067315
0.430831,0.970000,0.173502,exp_open_timeout_9,4,0,0,0.000036,3,0.124515
0.501125,0.970000,0.178729,exp_open_timeout_9,3,0,0,0.000039,3,0.070294
0.819513,0.970000,0.493618,exp_open_timeout_9,8,0,0,0.000056,3,0.318388
0.850178,0.970000,0.487684,exp_open_timeout_9,7,0,0,0.000059,3,0.030665
0.887361,0.970000,0.503625,exp_open_timeout_9,7,0,0,0.000065,3,0.037183
1.181811,0.970000,0.677010,exp_open_timeout_9,9,0,0,0.000074,3,0.294450
1.212808,0.970000,0.698137,exp_open_timeout_9,8,0,0,0.000077,3,0.030996
1.405512,0.970000,0.867175,exp_open_timeout_9,7,0,0,0.000080,3,0.192705
1.433083,0.970000,0.851129,exp_open_timeout_9,6,0,0,0.000083,3,0.027571
1.518998,0.970000,0.836102,exp_open_timeout_9,5,0,0,0.000090,3,0.085914
1.694806,0.970000,0.876461,exp_open_timeout_9,4,0,0,0.000093,3,0.175809
1.719924,0.970000,0.838265,exp_open_timeout_9,3,0,0,0.000096,3,0.025118
1.738795,0.970000,0.728426,exp_open_timeout_9,2,0,0,0.000098,3,0.018871
1.797904,0.970000,0.668431,exp_open_timeout_9,2,0,0,0.000104,3,0.059108
1.840506,0.970000,0.676641,exp_open_timeout_9,1,0,0,0.000107,3,0.042602
1.879410,0.970000,0.106296,exp_open_timeout_9,1,0,0,0.000113,3,0.038905
2.024352,0.970000,0.178545,exp_open_timeout_9,1,0,0,0.000118,3,0.144941
2.129447,0.970000,0.236672,exp_open_timeout_9,0,0,0,0.000121,3,0.105095
2.744357,0.970000,0.081233,exp_open_timeout_9,2,0,0,0.000131,3,0.081233
2.823628,0.970000,0.155792,exp_open_timeout_9,1,0,0,0.000134,3,0.079271
2.831032,0.970000,0.122815,exp_open_timeout_9,0,0,0,0.000136,3,0.007404
3.278560,0.970000,0.310739,exp_open_timeout_9,5,0,0,0.000153,3,0.310739
3.286964,0.970000,0.152944,exp_open_timeout_9,4,0,0,0.000156,3,0.008404
3.455740,0.970000,0.295240,exp_open_timeout_9,3,0,0,0.000159,3,0.168776
3.614330,0.970000,0.443659,exp_open_timeout_9,4,0,0,0.000167,3,0.158590
3.933739,0.970000,0.717224,exp_open_timeout_9,8,0,0,0.000181,3,0.319409
4.010558,0.970000,0.763945,exp_open_timeout_9,8,0,0,0.000186,3,0.076819
4.043718,0.970000,0.542092,exp_open_timeout_9,7,0,0,0.000189,3,0.033160
4.302688,0.970000,0.777241,exp_open_timeout_9,8,0,0,0.000196,3,0.258970
4.316360,0.970000,0.687069,exp_open_timeout_9,7,0,0,0.000199,3,0.013672
4.508342,0.970000,0.875759,exp_open_timeout_9,7,0,0,0.000205,3,0.191983
4.611689,0.970000,0.875528,exp_open_timeout_9,9,0,0,0.000214,3,0.103347
4.697255,0.970000,0.873423,exp_open_timeout_9,11,0,0,0.000224,3,0.085566
4.835405,0.970000,0.911122,exp_open_timeout_9,11,0,0,0.000230,3,0.138150
4.859540,0.970000,0.850987,exp_open_timeout_9,10,0,0,0.000232,3,0.024135
4.931664,0.970000,0.866040,exp_open_timeout_9,9,0,0,0.000235,3,0.072124
5.298963,0.970000,1.208816,exp_open_timeout_9,11,0,0,0.000245,3,0.367299
5.301696,0.970000,0.903373,exp_open_timeout_9,10,0,0,0.000248,3,0.002733
5.353093,0.970000,0.802873,exp_open_timeout_9,9,0,0,0.000251,3,0.051397
5.372738,0.970000,0.813632,exp_open_timeout_9,8,0,0,0.000254,3,0.019645
5.515854,0.970000,0.918104,exp_open_timeout_9,9,0,0,0.000261,3,0.143116
5.758187,0.970000,1.129350,exp_open_timeout_9,13,0,0,0.000275,3,0.242333
5.772500,0.970000,1.136602,exp_open_timeout_9,12,0,0,0.000278,3,0.014313
5.827473,0.970000,1.167625,exp_open_timeout_9,11,0,0,0.000281,3,0.054974
5.865461,0.970000,1.031553,exp_open_timeout_9,10,0,0,0.000284,3,0.037988
5.882820,0.970000,0.853081,exp_open_timeout_9,9,0,0,0.000287,3,0.017358
5.944945,0.970000,0.872337,exp_open_timeout_9,8,0,0,0.000289,3,0.062125
5.970776,0.970000,0.721652,exp_open_timeout_9,7,0,0,0.000292,3,0.025831
6.079885,0.970000,0.582319,exp_open_timeout_9,6,0,0,0.000295,3,0.109110
6.085597,0.970000,0.586622,exp_open_timeout_9,5,0,0,0.000298,3,0.005712
6.296827,0.970000,0.740903,exp_open_timeout_9,7,0,0,0.000308,3,0.211230
6.339773,0.970000,0.761933,exp_open_timeout_9,7,0,0,0.000313,3,0.042946
6.476660,0.970000,0.882249,exp_open_timeout_9,7,0,0,0.000318,3,0.136887
6.478817,0.970000,0.809022,exp_open_timeout_9,6,0,0,0.000321,3,0.002157
6.533845,0.970000,0.834244,exp_open_timeout_9,6,0,0,0.000326,3,0.055028
6.552773,0.970000,0.441859,exp_open_timeout_9,6,0,0,0.000331,3,0.018928
6.620478,0.970000,0.359880,exp_open_timeout_9,5,0,0,0.000334,3,0.067705
6.755729,0.970000,0.459174,exp_open_timeout_9,5,0,0,0.000339,3,0.135251
6.874928,0.970000,0.565972,exp_open_timeout_9,6,0,0,0.000347,3,0.119199
6.988238,0.970000,0.593667,exp_open_timeout_9,5,0,0,0.000350,3,0.113310
7.074005,0.970000,0.579385,exp_open_timeout_9,4,0,0,0.000352,3,0.085766
7.086717,0.970000,0.545391,exp_open_timeout_9,3,0,0,0.000355,3,0.012712
7.104202,0.970000,0.421751,exp_open_timeout_9,3,0,0,0.000360,3,0.017486
7.165643,0.970000,0.356398,exp_open_timeout_9,4,0,0,0.000368,3,0.061440
7.386319,0.970000,0.543648,exp_open_timeout_9,6,0,0,0.000378,3,0.220677
7.514094,0.970000,0.413404,exp_open_timeout_9,6,0,0,0.000383,3,0.127774
7.660055,0.970000,0.548472,exp_open_timeout_9,7,0,0,0.000391,3,0.145962
7.661410,0.970000,0.515306,exp_open_timeout_9,6,0,0,0.000393,3,0.001355
7.688683,0.970000,0.460341,exp_open_timeout_9,6,0,0,0.000398,3,0.027272
7.710541,0.970000,0.434531,exp_open_timeout_9,5,0,0,0.000401,3,0.021859
7.729881,0.970000,0.448049,exp_open_timeout_9,4,0,0,0.000404,3,0.019339
7.878841,0.970000,0.420365,exp_open_timeout_9,4,0,0,0.000409,3,0.148960
8.008072,0.970000,0.484678,exp_open_timeout_9,3,0,0,0.000412,3,0.129231
8.116385,0.970000,0.543205,exp_open_timeout_9,3,0,0,0.000417,3,0.108313
8.350055,0.970000,0.670289,exp_open_timeout_9,5,0,0,0.000427,3,0.233670
8.401131,0.970000,0.603190,exp_open_timeout_9,4,0,0,0.000430,3,0.051075
8.562562,0.970000,0.492160,exp_open_timeout_9,4,0,0,0.000435,3,0.161432
8.758787,0.970000,0.634149,exp_open_timeout_9,5,0,0,0.000443,3,0.196224
8.859094,0.970000,0.564964,exp_open_timeout_9,4,0,0,0.000445,3,0.100307
8.885517,0.970000,0.552333,exp_open_timeout_9,3,0,0,0.000448,3,0.026423
9.086535,0.970000,0.585576,exp_open_timeout_9,6,0,0,0.000460,3,0.201018
9.199459,0.970000,0.602137,exp_open_timeout_9,5,0,0,0.000463,3,0.112924
9.323702,0.970000,0.710557,exp_open_timeout_9,5,0,0,0.000468,3,0.124244
9.425666,0.970000,0.539277,exp_open_timeout_9,5,0,0,0.000473,3,0.101964
9.458196,0.970000,0.560391,exp_open_timeout_9,5,0,0,0.000479,3,0.032530
9.479412,0.970000,0.539486,exp_open_timeout_9,4,0,0,0.000481,3,0.021216
9.667719,0.970000,0.611459,exp_open_timeout_9,4,0,0,0.000486,3,0.188306
9.697150,0.970000,0.481615,exp_open_timeout_9,4,0,0,0.000492,3,0.029431
9.765906,0.970000,0.374544,exp_open_timeout_9,5,0,0,0.000499,3,0.068756
9.812879,0.970000,0.375364,exp_open_timeout_9,4,0,0,0.000502,3,0.046973
9.835841,0.970000,0.274840,exp_open_timeout_9,3,0,0,0.000505,3,0.022962
9.933033,0.970000,0.255763,exp_open_timeout_9,3,0,0,0.000510,3,0.097192
10.037341,0.970000,0.309962,exp_open_timeout_9,3,0,0,0.000515,3,0.104309
10.040608,0.970000,0.298953,exp_open_timeout_9,2,0,0,0.000518,3,0.003267
10.094645,0.970000,0.242057,exp_open_timeout_9,2,0,0,0.000523,3,0.054037
10.285592,0.970000,0.335740,exp_open_timeout_9,4,0,0,0.000533,3,0.190947
10.504202,0.970000,0.430285,exp_open_timeout_9,5,0,0,0.000541,3,0.218610
