t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.264999,0.970000,0.264999,exp_open_timeout_9,0,0,0,0.000016,3,0.264999
0.603749,0.970000,0.023370,exp_open_timeout_9,0,0,0,0.000023,3,0.023370
0.650053,0.970000,0.017669,exp_open_timeout_9,0,0,0,0.000029,3,0.017669
1.284006,0.970000,0.247083,exp_open_timeout_9,2,0,0,0.000040,3,0.247083
1.321568,0.970000,0.181175,exp_open_timeout_9,1,0,0,0.000043,3,0.037563
1.362754,0.970000,0.195174,exp_open_timeout_9,1,0,0,0.000050,3,0.041185
1.398307,0.970000,0.049616,exp_open_timeout_9,0,0,0,0.000052,3,0.035554
1.814067,0.970000,0.237500,exp_open_timeout_9,3,0,0,0.000064,3,0.237500
1.879684,0.970000,0.290850,exp_open_timeout_9,3,0,0,0.000070,3,0.065617
2.128829,0.970000,0.500469,exp_open_timeout_9,3,0,0,0.000075,3,0.249146
2.140111,0.970000,0.509123,exp_open_timeout_9,2,0,0,0.000078,3,0.011281
2.201375,0.970000,0.352482,exp_open_timeout_9,2,0,0,0.000083,3,0.061265
2.435691,0.970000,0.497365,exp_open_timeout_9,7,0,0,0.000099,3,0.234316
2.451284,0.970000,0.293316,exp_open_timeout_9,6,0,0,0.000102,3,0.015592
2.491628,0.970000,0.273786,exp_open_timeout_9,7,0,0,0.000109,3,0.040344
2.536528,0.970000,0.210760,exp_open_timeout_9,6,0,0,0.000112,3,0.044900
2.708196,0.970000,0.359860,exp_open_timeout_9,8,0,0,0.000122,3,0.171668
2.917215,0.970000,0.568770,exp_open_timeout_9,9,0,0,0.000129,3,0.209020
3.065350,0.970000,0.670779,exp_open_timeout_9,9,0,0,0.000134,3,0.148134
3.169062,0.970000,0.763401,exp_open_timeout_9,10,0,0,0.000142,3,0.103712
3.170693,0.970000,0.708083,exp_open_timeout_9,9,0,0,0.000144,3,0.001631
3.227688,0.970000,0.763767,exp_open_timeout_9,9,0,0,0.000149,3,0.056995
3.256292,0.970000,0.716606,exp_open_timeout_9,8,0,0,0.000152,3,0.028604
3.288061,0.970000,0.737309,exp_open_timeout_9,8,0,0,0.000157,3,0.031769
3.373672,0.970000,0.773069,exp_open_timeout_9,8,0,0,0.000162,3,0.085611
3.434378,0.970000,0.649341,exp_open_timeout_9,9,0,0,0.000170,3,0.060705
