t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.256632,0.970000,0.256632,exp_open_timeout_9,2,0,0,0.000014,3,0.256632
0.452322,0.970000,0.299897,exp_open_timeout_9,4,0,0,0.000026,3,0.195690
0.550779,0.970000,0.295599,exp_open_timeout_9,5,0,0,0.000034,3,0.098457
0.772838,0.970000,0.490237,exp_open_timeout_9,5,0,0,0.000039,3,0.222059
0.940906,0.970000,0.652748,exp_open_timeout_9,7,0,0,0.000049,3,0.168068
0.942985,0.970000,0.611566,exp_open_timeout_9,6,0,0,0.000052,3,0.002078
1.015623,0.970000,0.504810,exp_open_timeout_9,6,0,0,0.000058,3,0.072638
1.168159,0.970000,0.653032,exp_open_timeout_9,6,0,0,0.000063,3,0.152537
1.220004,0.970000,0.625282,exp_open_timeout_9,6,0,0,0.000068,3,0.051845
1.863827,0.970000,1.023841,exp_open_timeout_9,15,0,0,0.000095,3,0.643823
1.936755,0.970000,1.061538,exp_open_timeout_9,15,0,0,0.000100,3,0.072927
1.962272,0.970000,1.075389,exp_open_timeout_9,14,0,0,0.000103,3,0.025518
2.022739,0.970000,1.015466,exp_open_timeout_9,13,0,0,0.000106,3,0.060466
2.115274,0.970000,1.075406,exp_open_timeout_9,12,0,0,0.000109,3,0.092535
2.148107,0.970000,0.938034,exp_open_timeout_9,11,0,0,0.000112,3,0.032834
2.322278,0.970000,1.027302,exp_open_timeout_9,10,0,0,0.000114,3,0.174170
2.399781,0.970000,1.072358,exp_open_timeout_9,10,0,0,0.000120,3,0.077503
2.474427,0.970000,1.129497,exp_open_timeout_9,9,0,0,0.000123,3,0.074647
2.510850,0.970000,0.892250,exp_open_timeout_9,8,0,0,0.000126,3,0.036423
2.691108,0.970000,1.065761,exp_open_timeout_9,9,0,0,0.000133,3,0.180257
2.693602,0.970000,1.015788,exp_open_timeout_9,8,0,0,0.000136,3,0.002494
2.713186,0.970000,0.993545,exp_open_timeout_9,7,0,0,0.000139,3,0.019584
2.974412,0.970000,1.194110,exp_open_timeout_9,7,0,0,0.000144,3,0.261226
3.092447,0.970000,1.291901,exp_open_timeout_9,8,0,0,0.000151,3,0.118035
3.207370,0.970000,1.380204,exp_open_timeout_9,7,0,0,0.000154,3,0.114924
3.436894,0.970000,1.512017,exp_open_timeout_9,7,0,0,0.000159,3,0.229524
3.459321,0.970000,1.110344,exp_open_timeout_9,6,0,0,0.000162,3,0.022427
3.647351,0.970000,0.971283,exp_open_timeout_9,8,0,0,0.000172,3,0.188030
3.653508,0.970000,0.976628,exp_open_timeout_9,7,0,0,0.000175,3,0.006156
3.697445,0.970000,0.888396,exp_open_timeout_9,6,0,0,0.000177,3,0.043937
3.781229,0.970000,0.773043,exp_open_timeout_9,6,0,0,0.000183,3,0.083784
3.834646,0.970000,0.816216,exp_open_timeout_9,5,0,0,0.000185,3,0.053417
3.862812,0.970000,0.455650,exp_open_timeout_9,5,0,0,0.000190,3,0.028166
4.214004,0.970000,0.713362,exp_open_timeout_9,6,0,0,0.000198,3,0.351192
4.456251,0.970000,0.920802,exp_open_timeout_9,5,0,0,0.000201,3,0.242246
4.697530,0.970000,1.070928,exp_open_timeout_9,6,0,0,0.000209,3,0.241279
4.793477,0.970000,1.042631,exp_open_timeout_9,5,0,0,0.000211,3,0.095947
4.842104,0.970000,1.004089,exp_open_timeout_9,5,0,0,0.000216,3,0.048627
4.848926,0.970000,0.900408,exp_open_timeout_9,5,0,0,0.000221,3,0.006822
5.125658,0.970000,0.982614,exp_open_timeout_9,8,0,0,0.000233,3,0.276732
5.131028,0.970000,0.616737,exp_open_timeout_9,8,0,0,0.000239,3,0.005370
5.549362,0.970000,0.924917,exp_open_timeout_9,9,0,0,0.000246,3,0.418333
5.599801,0.970000,0.768727,exp_open_timeout_9,9,0,0,0.000251,3,0.050439
5.602048,0.970000,0.759401,exp_open_timeout_9,8,0,0,0.000254,3,0.002246
5.705972,0.970000,0.818389,exp_open_timeout_9,7,0,0,0.000257,3,0.103925
