t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.000782,0.970000,0.000782,exp_open_timeout_9,0,0,0,0.000014,3,0.000782
0.281098,0.970000,0.193196,exp_open_timeout_9,2,0,0,0.000026,3,0.193196
0.339716,0.970000,0.137809,exp_open_timeout_9,2,0,0,0.000032,3,0.058618
0.457446,0.970000,0.211038,exp_open_timeout_9,1,0,0,0.000036,3,0.117730
0.470207,0.970000,0.157836,exp_open_timeout_9,1,0,0,0.000041,3,0.012761
0.548288,0.970000,0.081922,exp_open_timeout_9,0,0,0,0.000044,3,0.078081
0.670267,0.970000,0.106536,exp_open_timeout_9,1,0,0,0.000051,3,0.106536
0.815799,0.970000,0.225813,exp_open_timeout_9,1,0,0,0.000056,3,0.145532
1.090230,0.970000,0.342050,exp_open_timeout_9,2,0,0,0.000064,3,0.274431
1.125593,0.970000,0.284015,exp_open_timeout_9,3,0,0,0.000072,3,0.035362
1.150098,0.970000,0.156369,exp_open_timeout_9,2,0,0,0.000075,3,0.024505
1.248903,0.970000,0.143697,exp_open_timeout_9,1,0,0,0.000077,3,0.098805
1.338047,0.970000,0.227608,exp_open_timeout_9,4,0,0,0.000089,3,0.089145
1.385251,0.970000,0.117663,exp_open_timeout_9,4,0,0,0.000094,3,0.047203
1.416493,0.970000,0.130241,exp_open_timeout_9,3,0,0,0.000097,3,0.031242
1.525878,0.970000,0.207031,exp_open_timeout_9,4,0,0,0.000105,3,0.109385
1.541594,0.970000,0.207134,exp_open_timeout_9,3,0,0,0.000108,3,0.015716
1.786407,0.970000,0.414254,exp_open_timeout_9,7,0,0,0.000122,3,0.244813
1.846301,0.970000,0.379238,exp_open_timeout_9,7,0,0,0.000127,3,0.059894
2.036650,0.970000,0.538737,exp_open_timeout_9,6,0,0,0.000130,3,0.190349
2.189940,0.970000,0.618858,exp_open_timeout_9,7,0,0,0.000137,3,0.153290
2.195547,0.970000,0.583576,exp_open_timeout_9,6,0,0,0.000140,3,0.005606
2.243418,0.970000,0.624195,exp_open_timeout_9,5,0,0,0.000143,3,0.047872
2.281412,0.970000,0.655112,exp_open_timeout_9,5,0,0,0.000148,3,0.037993
2.297549,0.970000,0.640090,exp_open_timeout_9,5,0,0,0.000153,3,0.016137
2.333267,0.970000,0.511419,exp_open_timeout_9,4,0,0,0.000156,3,0.035719
2.401657,0.970000,0.298951,exp_open_timeout_9,4,0,0,0.000162,3,0.068389
2.408316,0.970000,0.246051,exp_open_timeout_9,3,0,0,0.000164,3,0.006659
2.452893,0.970000,0.201405,exp_open_timeout_9,3,0,0,0.000170,3,0.044577
2.479180,0.970000,0.193554,exp_open_timeout_9,2,0,0,0.000172,3,0.026287
2.652454,0.970000,0.251461,exp_open_timeout_9,2,0,0,0.000177,3,0.173274
2.708274,0.970000,0.277630,exp_open_timeout_9,1,0,0,0.000180,3,0.055820
2.732987,0.970000,0.154077,exp_open_timeout_9,0,0,0,0.000183,3,0.024713
2.892129,0.970000,0.077715,exp_open_timeout_9,1,0,0,0.000191,3,0.077715
2.935074,0.970000,0.097802,exp_open_timeout_9,2,0,0,0.000198,3,0.042945
3.194120,0.970000,0.271883,exp_open_timeout_9,5,0,0,0.000211,3,0.259046
3.588042,0.970000,0.661613,exp_open_timeout_9,9,0,0,0.000225,3,0.393922
3.660995,0.970000,0.634897,exp_open_timeout_9,9,0,0,0.000230,3,0.072953
3.780129,0.970000,0.652194,exp_open_timeout_9,9,0,0,0.000235,3,0.119134
3.913465,0.970000,0.762555,exp_open_timeout_9,10,0,0,0.000242,3,0.133336
3.969740,0.970000,0.790484,exp_open_timeout_9,9,0,0,0.000246,3,0.056274
4.041132,0.970000,0.845037,exp_open_timeout_9,9,0,0,0.000251,3,0.071393
4.128305,0.970000,0.878841,exp_open_timeout_9,10,0,0,0.000258,3,0.087172
4.163235,0.970000,0.836126,exp_open_timeout_9,9,0,0,0.000261,3,0.034931
4.212372,0.970000,0.813342,exp_open_timeout_9,8,0,0,0.000264,3,0.049137
4.236049,0.970000,0.800822,exp_open_timeout_9,9,0,0,0.000271,3,0.023677
4.240829,0.970000,0.604216,exp_open_timeout_9,8,0,0,0.000274,3,0.004780
4.377119,0.970000,0.614574,exp_open_timeout_9,9,0,0,0.000282,3,0.136290
4.409205,0.970000,0.627606,exp_open_timeout_9,8,0,0,0.000284,3,0.032086
4.420870,0.970000,0.524837,exp_open_timeout_9,7,0,0,0.000287,3,0.011665
4.439190,0.970000,0.436174,exp_open_timeout_9,6,0,0,0.000290,3,0.018320
4.477608,0.970000,0.407450,exp_open_timeout_9,5,0,0,0.000293,3,0.038417
4.501966,0.970000,0.386167,exp_open_timeout_9,4,0,0,0.000296,3,0.024359
4.550123,0.970000,0.327146,exp_open_timeout_9,4,0,0,0.000301,3,0.048157
4.625664,0.970000,0.391293,exp_open_timeout_9,3,0,0,0.000304,3,0.075540
4.650152,0.970000,0.366148,exp_open_timeout_9,2,0,0,0.000307,3,0.024488
4.816616,0.970000,0.497656,exp_open_timeout_9,4,0,0,0.000316,3,0.166464
4.827677,0.970000,0.291298,exp_open_timeout_9,3,0,0,0.000319,3,0.011061
4.873827,0.970000,0.212580,exp_open_timeout_9,2,0,0,0.000322,3,0.046150
4.908994,0.970000,0.205944,exp_open_timeout_9,1,0,0,0.000325,3,0.035167
4.942830,0.970000,0.213465,exp_open_timeout_9,1,0,0,0.000330,3,0.033836
5.122110,0.970000,0.202276,exp_open_timeout_9,2,0,0,0.000337,3,0.179280
5.196531,0.970000,0.201998,exp_open_timeout_9,1,0,0,0.000340,3,0.074421
5.233115,0.970000,0.127549,exp_open_timeout_9,0,0,0,0.000343,3,0.036584
5.370028,0.970000,0.131725,exp_open_timeout_9,2,0,0,0.000353,3,0.131725
5.589959,0.970000,0.269258,exp_open_timeout_9,1,0,0,0.000356,3,0.219931
5.794159,0.970000,0.439646,exp_open_timeout_9,1,0,0,0.000361,3,0.204200
5.900696,0.970000,0.305456,exp_open_timeout_9,2,0,0,0.000369,3,0.106538
5.902419,0.970000,0.063269,exp_open_timeout_9,1,0,0,0.000372,3,0.001723
5.977862,0.970000,0.118594,exp_open_timeout_9,1,0,0,0.000377,3,0.075443
6.155130,0.970000,0.184012,exp_open_timeout_9,2,0,0,0.000384,3,0.177268
6.318819,0.970000,0.281029,exp_open_timeout_9,1,0,0,0.000387,3,0.163689
6.401903,0.970000,0.306159,exp_open_timeout_9,0,0,0,0.000390,3,0.083084
6.445815,0.970000,0.006732,exp_open_timeout_9,0,0,0,0.000395,3,0.006732
6.711676,0.970000,0.143225,exp_open_timeout_9,0,0,0,0.000400,3,0.143225
7.010113,0.970000,0.120138,exp_open_timeout_9,1,0,0,0.000407,3,0.120138
7.066162,0.970000,0.161494,exp_open_timeout_9,0,0,0,0.000411,3,0.056049
7.528342,0.970000,0.321513,exp_open_timeout_9,2,0,0,0.000420,3,0.321513
7.745819,0.970000,0.422100,exp_open_timeout_9,2,0,0,0.000426,3,0.217477
7.820758,0.970000,0.420790,exp_open_timeout_9,2,0,0,0.000431,3,0.074939
7.830506,0.970000,0.181159,exp_open_timeout_9,1,0,0,0.000434,3,0.009747
7.949337,0.970000,0.160166,exp_open_timeout_9,1,0,0,0.000439,3,0.118832
7.981226,0.970000,0.095772,exp_open_timeout_9,0,0,0,0.000442,3,0.031888
8.272389,0.970000,0.106730,exp_open_timeout_9,1,0,0,0.000449,3,0.106730
8.336578,0.970000,0.101696,exp_open_timeout_9,2,0,0,0.000456,3,0.064188
8.345994,0.970000,0.063619,exp_open_timeout_9,1,0,0,0.000459,3,0.009416
8.354053,0.970000,0.057702,exp_open_timeout_9,0,0,0,0.000462,3,0.008059
8.463813,0.970000,0.073449,exp_open_timeout_9,2,0,0,0.000471,3,0.073449
8.513939,0.970000,0.112243,exp_open_timeout_9,1,0,0,0.000474,3,0.050125
8.539662,0.970000,0.127773,exp_open_timeout_9,0,0,0,0.000477,3,0.025723
8.656297,0.970000,0.063053,exp_open_timeout_9,1,0,0,0.000484,3,0.063053
8.673136,0.970000,0.032783,exp_open_timeout_9,0,0,0,0.000487,3,0.016839
9.466621,0.970000,0.073284,exp_open_timeout_9,1,0,0,0.000495,3,0.073284
9.558273,0.970000,0.140447,exp_open_timeout_9,0,0,0,0.000497,3,0.091652
9.794056,0.970000,0.010946,exp_open_timeout_9,0,0,0,0.000502,3,0.010946
10.447606,0.970000,0.332881,exp_open_timeout_9,2,0,0,0.000512,3,0.332881
10.603212,0.970000,0.384291,exp_open_timeout_9,2,0,0,0.000517,3,0.155606
10.688414,0.970000,0.400773,exp_open_timeout_9,2,0,0,0.000523,3,0.085202
10.721190,0.970000,0.252790,exp_open_timeout_9,1,0,0,0.000525,3,0.032776
10.876832,0.970000,0.198787,exp_open_timeout_9,2,0,0,0.000533,3,0.155642
10.962729,0.970000,0.225862,exp_open_timeout_9,2,0,0,0.000538,3,0.085896
10.971635,0.970000,0.134437,exp_open_timeout_9,1,0,0,0.000541,3,0.008907
11.078854,0.970000,0.192535,exp_open_timeout_9,0,0,0,0.000544,3,0.107219
11.118451,0.970000,0.033069,exp_open_timeout_9,0,0,0,0.000549,3,0.033069
