t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.079622,0.970000,0.079622,exp_open_timeout_9,1,0,0,0.000011,3,0.079622
0.101030,0.970000,0.054560,exp_open_timeout_9,0,0,0,0.000016,3,0.021407
0.289266,0.970000,0.160126,exp_open_timeout_9,0,0,0,0.000022,3,0.160126
0.333077,0.970000,0.025043,exp_open_timeout_9,0,0,0,0.000027,3,0.025043
0.565737,0.970000,0.148283,exp_open_timeout_9,2,0,0,0.000038,3,0.148283
0.981333,0.970000,0.520688,exp_open_timeout_9,4,0,0,0.000048,3,0.415597
0.990012,0.970000,0.488327,exp_open_timeout_9,4,0,0,0.000053,3,0.008679
1.008426,0.970000,0.313744,exp_open_timeout_9,4,0,0,0.000058,3,0.018414
1.178481,0.970000,0.446100,exp_open_timeout_9,6,0,0,0.000068,3,0.170054
1.333466,0.970000,0.440597,exp_open_timeout_9,7,0,0,0.000076,3,0.154985
1.350769,0.970000,0.367140,exp_open_timeout_9,6,0,0,0.000079,3,0.017303
1.649668,0.970000,0.650935,exp_open_timeout_9,6,0,0,0.000084,3,0.298900
1.728241,0.970000,0.668340,exp_open_timeout_9,5,0,0,0.000087,3,0.078572
1.770214,0.970000,0.678162,exp_open_timeout_9,4,0,0,0.000090,3,0.041973
1.845589,0.970000,0.691085,exp_open_timeout_9,4,0,0,0.000095,3,0.075375
2.087048,0.970000,0.851717,exp_open_timeout_9,5,0,0,0.000103,3,0.241459
2.155309,0.970000,0.845958,exp_open_timeout_9,6,0,0,0.000110,3,0.068261
2.237475,0.970000,0.650292,exp_open_timeout_9,5,0,0,0.000113,3,0.082166
2.270155,0.970000,0.448854,exp_open_timeout_9,5,0,0,0.000118,3,0.032680
2.437679,0.970000,0.576947,exp_open_timeout_9,5,0,0,0.000128,3,0.167524
2.532971,0.970000,0.481868,exp_open_timeout_9,4,0,0,0.000131,3,0.095291
2.722247,0.970000,0.619514,exp_open_timeout_9,6,0,0,0.000141,3,0.189276
2.742369,0.970000,0.634742,exp_open_timeout_9,5,0,0,0.000144,3,0.020122
