t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.006890,0.970000,0.006890,exp_open_timeout_9,0,0,0,0.000010,3,0.006890
0.092388,0.970000,0.059326,exp_open_timeout_9,0,0,0,0.000017,3,0.059326
0.276462,0.970000,0.004812,exp_open_timeout_9,0,0,0,0.000023,3,0.004812
0.375532,0.970000,0.045575,exp_open_timeout_9,0,0,0,0.000029,3,0.045575
0.599292,0.970000,0.199374,exp_open_timeout_9,3,0,0,0.000042,3,0.199374
0.656081,0.970000,0.212790,exp_open_timeout_9,2,0,0,0.000045,3,0.056789
0.754973,0.970000,0.262765,exp_open_timeout_9,2,0,0,0.000051,3,0.098892
0.760273,0.970000,0.231973,exp_open_timeout_9,1,0,0,0.000054,3,0.005300
1.104156,0.970000,0.424345,exp_open_timeout_9,3,0,0,0.000064,3,0.343883
1.165092,0.970000,0.346290,exp_open_timeout_9,4,0,0,0.000071,3,0.060936
1.390528,0.970000,0.566151,exp_open_timeout_9,5,0,0,0.000079,3,0.225436
1.653251,0.970000,0.712539,exp_open_timeout_9,6,0,0,0.000087,3,0.262723
1.681864,0.970000,0.566116,exp_open_timeout_9,6,0,0,0.000092,3,0.028613
1.861167,0.970000,0.696490,exp_open_timeout_9,5,0,0,0.000095,3,0.179302
1.887017,0.970000,0.702361,exp_open_timeout_9,4,0,0,0.000098,3,0.025851
2.030907,0.970000,0.802186,exp_open_timeout_9,3,0,0,0.000101,3,0.143890
2.054670,0.970000,0.594263,exp_open_timeout_9,2,0,0,0.000104,3,0.023763
2.136956,0.970000,0.671572,exp_open_timeout_9,1,0,0,0.000106,3,0.082285
2.214239,0.970000,0.539661,exp_open_timeout_9,1,0,0,0.000112,3,0.077283
2.345190,0.970000,0.159748,exp_open_timeout_9,1,0,0,0.000117,3,0.130951
2.349432,0.970000,0.110576,exp_open_timeout_9,0,0,0,0.000119,3,0.004241
2.493765,0.970000,0.132448,exp_open_timeout_9,1,0,0,0.000127,3,0.132448
2.494934,0.970000,0.045104,exp_open_timeout_9,0,0,0,0.000130,3,0.001169
2.598060,0.970000,0.086868,exp_open_timeout_9,0,0,0,0.000135,3,0.086868
3.081148,0.970000,0.017967,exp_open_timeout_9,0,0,0,0.000140,3,0.017967
3.236957,0.970000,0.063687,exp_open_timeout_9,1,0,0,0.000148,3,0.063687
3.252067,0.970000,0.050481,exp_open_timeout_9,0,0,0,0.000151,3,0.015111
3.338228,0.970000,0.033598,exp_open_timeout_9,1,0,0,0.000158,3,0.033598
3.443564,0.970000,0.130883,exp_open_timeout_9,1,0,0,0.000163,3,0.105336
